GSP_Name,Subbasin_Name,Shapefile_Name,gsa_master_shp_name
Aliso,Delta Mendota,Aliso_DeltaMendota,Aliso (DM)
Alpaugh,Tule,Alpaugh_Tule,Alpaugh (Tule)
Buena Vista,Kern,BuenaVista_Kern,Buena Vista (Kern)
Central Kings,Kings,CentralKings_Kings,Central Kings
Chowchilla,Chowchilla,Chowchilla,Chowchilla
County of Fresno,Delta Mendota,CountyofFresno_DeltaMendota,Fresno County (DM)
Delano Earlimart,Tule,DelanoEarlimart_Tule,Delano-Earlimart (Tule)
Eastern San Joaquin,Eastern San Joaquin,EasternSanJoaquin,Eastern San Joaquin
Eastern Tule,Tule,EasternTule_Tule,East Tule
East Kaweah,Kaweah,EastKaweah_Kaweah,East Kaweah
Farmers,Delta Mendota,FarmersWD_DeltaMendota,Farmers (DM)
Grasslands,Delta Mendota,Grasslands_DeltaMendota,Grassland (DM)
Gravelly Ford,Madera,GravellyFord_Madera,Gravelly Ford (Madera)
Greater Kaweah,Kaweah,GreaterKaweah_Kaweah,Greater Kaweah
Henry Miller,Kern,HenryMiller_Kern,Henry Miller (Kern)
James,Kings,James_Kings,James (Kings)
Kern River,Kern,KernRiver_MTs,Kern River
Kern Groundwater Authority,Kern,KGA_Kern,Kern Groundwater Authority
Kings River East,Kings,KingsRiverEast_Kings,Kings River East
Lower Tule,Tule,LowerTule_Tule,Lower Tule River
Madera,Madera,Madera,Madera Joint
McMullin,Kings,McMullin_Kings,Mc Mullin
Merced,Merced,Merced,Merced
Mid Kaweah,Kaweah,MidKaweah_Kaweah,Mid Kaweah
New Stone,Madera,NewStone_Madera,New Stone (Madera)
Northern Central DM,Delta Mendota,NorthernCentral_DeltaMendota,Northern Central (DM)
North Fork Kings,Kings,NorthForkKings_Kings,North Fork Kings
North Kings,Kings,NorthKings_Kings2,North Kings
Olcese,Kern,Olcese_Kern,Olcese (Kern)
Pixley,Tule,Pixley_Tule,Pixley (Tule)
Root Creek,Madera,RootCreek_Madera,Root Creek (Madera)
SJREC,Delta Mendota,SJREC_DeltaMendota,SJREC (DM)
South Kings,Kings,SouthKings_Kings,South Kings
Tri County,Tule,TriCounty_Tule,Tri-County (Tule)
Tulare Lake,Tulare Lake,TulareLake,Tulare Lake
Westlands,Westside,Westlands_Westside,Westside
