WCRNumber,mean_ci_upper,pump_loc,mean_ci_lower,TotalCompletedDepth,tot_depth_msh,gwl_2019,gsp_name,high_10,lowering_cost_high_10,deepening_cost_high_10,low_10,lowering_cost_low_10,deepening_cost_low_10,total_cost_high_10,total_cost_low_10,high_20,lowering_cost_high_20,deepening_cost_high_20,low_20,lowering_cost_low_20,deepening_cost_low_20,total_cost_high_20,total_cost_low_20,high_30,lowering_cost_high_30,deepening_cost_high_30,low_30,lowering_cost_low_30,deepening_cost_low_30,total_cost_high_30,total_cost_low_30,high_40,lowering_cost_high_40,deepening_cost_high_40,low_40,lowering_cost_low_40,deepening_cost_low_40,total_cost_high_40,total_cost_low_40,high_50,lowering_cost_high_50,deepening_cost_high_50,low_50,lowering_cost_low_50,deepening_cost_low_50,total_cost_high_50,total_cost_low_50,high_60,lowering_cost_high_60,deepening_cost_high_60,low_60,lowering_cost_low_60,deepening_cost_low_60,total_cost_high_60,total_cost_low_60,high_70,lowering_cost_high_70,deepening_cost_high_70,low_70,lowering_cost_low_70,deepening_cost_low_70,total_cost_high_70,total_cost_low_70,high_80,lowering_cost_high_80,deepening_cost_high_80,low_80,lowering_cost_low_80,deepening_cost_low_80,total_cost_high_80,total_cost_low_80,high_90,lowering_cost_high_90,deepening_cost_high_90,low_90,lowering_cost_low_90,deepening_cost_low_90,total_cost_high_90,total_cost_low_90,high_100,lowering_cost_high_100,deepening_cost_high_100,low_100,lowering_cost_low_100,deepening_cost_low_100,total_cost_high_100,total_cost_low_100,high_110,lowering_cost_high_110,deepening_cost_high_110,low_110,lowering_cost_low_110,deepening_cost_low_110,total_cost_high_110,total_cost_low_110,high_120,lowering_cost_high_120,deepening_cost_high_120,low_120,lowering_cost_low_120,deepening_cost_low_120,total_cost_high_120,total_cost_low_120,high_130,lowering_cost_high_130,deepening_cost_high_130,low_130,lowering_cost_low_130,deepening_cost_low_130,total_cost_high_130,total_cost_low_130,high_140,lowering_cost_high_140,deepening_cost_high_140,low_140,lowering_cost_low_140,deepening_cost_low_140,total_cost_high_140,total_cost_low_140,high_150,lowering_cost_high_150,deepening_cost_high_150,low_150,lowering_cost_low_150,deepening_cost_low_150,total_cost_high_150,total_cost_low_150,high_160,lowering_cost_high_160,deepening_cost_high_160,low_160,lowering_cost_low_160,deepening_cost_low_160,total_cost_high_160,total_cost_low_160,high_170,lowering_cost_high_170,deepening_cost_high_170,low_170,lowering_cost_low_170,deepening_cost_low_170,total_cost_high_170,total_cost_low_170,high_180,lowering_cost_high_180,deepening_cost_high_180,low_180,lowering_cost_low_180,deepening_cost_low_180,total_cost_high_180,total_cost_low_180,high_190,lowering_cost_high_190,deepening_cost_high_190,low_190,lowering_cost_low_190,deepening_cost_low_190,total_cost_high_190,total_cost_low_190,high_200,lowering_cost_high_200,deepening_cost_high_200,low_200,lowering_cost_low_200,deepening_cost_low_200,total_cost_high_200,total_cost_low_200,high_210,lowering_cost_high_210,deepening_cost_high_210,low_210,lowering_cost_low_210,deepening_cost_low_210,total_cost_high_210,total_cost_low_210,high_220,lowering_cost_high_220,deepening_cost_high_220,low_220,lowering_cost_low_220,deepening_cost_low_220,total_cost_high_220,total_cost_low_220,high_230,lowering_cost_high_230,deepening_cost_high_230,low_230,lowering_cost_low_230,deepening_cost_low_230,total_cost_high_230,total_cost_low_230,high_240,lowering_cost_high_240,deepening_cost_high_240,low_240,lowering_cost_low_240,deepening_cost_low_240,total_cost_high_240,total_cost_low_240,high_250,lowering_cost_high_250,deepening_cost_high_250,low_250,lowering_cost_low_250,deepening_cost_low_250,total_cost_high_250,total_cost_low_250,high_260,lowering_cost_high_260,deepening_cost_high_260,low_260,lowering_cost_low_260,deepening_cost_low_260,total_cost_high_260,total_cost_low_260,high_270,lowering_cost_high_270,deepening_cost_high_270,low_270,lowering_cost_low_270,deepening_cost_low_270,total_cost_high_270,total_cost_low_270,high_280,lowering_cost_high_280,deepening_cost_high_280,low_280,lowering_cost_low_280,deepening_cost_low_280,total_cost_high_280,total_cost_low_280,high_290,lowering_cost_high_290,deepening_cost_high_290,low_290,lowering_cost_low_290,deepening_cost_low_290,total_cost_high_290,total_cost_low_290,high_300,lowering_cost_high_300,deepening_cost_high_300,low_300,lowering_cost_low_300,deepening_cost_low_300,total_cost_high_300,total_cost_low_300,mt_ft_bls,high_mt,lowering_cost_high_mt,deepening_cost_high_mt,low_mt,lowering_cost_low_mt,deepening_cost_low_mt,total_cost_high_mt,total_cost_low_mt
WCR0033041,111.04327615085167,109,106.95672384914833,300,270,86.37652171344332,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,failing,16304.327615085169,11500,failing,15895.672384914831,11500,27804.327615085167,27395.672384914833,181.85190626023683,failing,16304.327615085169,0,failing,15895.672384914831,0,16304.327615085169,15895.672384914831
WCR0050802,254.65558232787714,252.6042449620628,250.55290759624847,480,450,196.98663521161888,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,259.33764830691507,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287
WCR0087210,254.65558232787714,252.6042449620628,250.55290759624847,480,450,218.16551464320077,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,0,failing,19534.441767212287,0,19944.709240375152,19534.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,failing,19944.709240375152,11500,failing,19534.441767212287,11500,31444.709240375152,31034.441767212287,251.05021941211137,failing,19944.709240375152,0,active,0,0,19944.709240375152,0
WCR0098875,235.46225157432013,233.41240918576983,231.36256679721953,443,413,59.194427890492086,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,failing,18163.74332027805,0,failing,17753.774842567986,0,18163.74332027805,17753.774842567986,157.9803121319876,active,0,0,active,0,0,0,0
WCR0118455,181.89805495870314,179.85280495531003,177.80755495191693,390,360,132.1121330315159,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686,failing,18219.244504808306,11500,failing,17810.194504129686,11500,29719.244504808306,29310.194504129686,failing,18219.244504808306,11500,failing,17810.194504129686,11500,29719.244504808306,29310.194504129686,failing,18219.244504808306,11500,failing,17810.194504129686,11500,29719.244504808306,29310.194504129686,failing,18219.244504808306,11500,failing,17810.194504129686,11500,29719.244504808306,29310.194504129686,failing,18219.244504808306,11500,failing,17810.194504129686,11500,29719.244504808306,29310.194504129686,failing,18219.244504808306,11500,failing,17810.194504129686,11500,29719.244504808306,29310.194504129686,failing,18219.244504808306,11500,failing,17810.194504129686,11500,29719.244504808306,29310.194504129686,failing,18219.244504808306,11500,failing,17810.194504129686,11500,29719.244504808306,29310.194504129686,234.9651441704562,failing,18219.244504808306,0,failing,17810.194504129686,0,18219.244504808306,17810.194504129686
WCR0119936,164.54619538572783,162.5,160.45380461427217,360,330,55.585857288540886,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,0,failing,16545.380461427216,0,16954.619538572784,16545.380461427216,failing,16954.619538572784,11500,failing,16545.380461427216,11500,28454.619538572784,28045.380461427216,failing,16954.619538572784,11500,failing,16545.380461427216,11500,28454.619538572784,28045.380461427216,failing,16954.619538572784,11500,failing,16545.380461427216,11500,28454.619538572784,28045.380461427216,156.8385533878417,active,0,0,active,0,0,0,0
WCR0183431,217.54848676362096,215.5,213.45151323637904,411,381,94.78888155555764,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,16754.848676362097,0,active,0,0,16754.848676362097,0,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,0,failing,16345.151323637905,0,16754.848676362097,16345.151323637905,failing,16754.848676362097,11500,failing,16345.151323637905,11500,28254.848676362097,27845.151323637903,failing,16754.848676362097,11500,failing,16345.151323637905,11500,28254.848676362097,27845.151323637903,157.9803121319876,active,0,0,active,0,0,0,0
WCR0205442,223.51925664021417,221.47038246900047,219.42150829778677,420,390,86.37652171344332,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,failing,17057.84917022132,0,failing,16648.074335978585,0,17057.84917022132,16648.074335978585,181.85190626023683,active,0,0,active,0,0,0,0
WCR0233261,213.12608345493675,211.07807691424978,209.0300703735628,400,370,86.37652171344332,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,181.85190626023683,active,0,0,active,0,0,0,0
WCR0243583,194.91901450455225,192.8725869980441,190.82615949153598,365,335,142.46628255668597,Buena Vista (Kern),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,14417.384050846402,0,active,0,0,14417.384050846402,0,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,failing,14417.384050846402,11500,failing,14008.098549544775,11500,25917.3840508464,25508.098549544775,218.34093141613522,failing,14417.384050846402,0,failing,14008.098549544775,0,14417.384050846402,14008.098549544775
