WCRNumber,mean_ci_upper,pump_loc,mean_ci_lower,TotalCompletedDepth,tot_depth_msh,gwl_2019,gsp_name,high_10,lowering_cost_high_10,deepening_cost_high_10,low_10,lowering_cost_low_10,deepening_cost_low_10,total_cost_high_10,total_cost_low_10,high_20,lowering_cost_high_20,deepening_cost_high_20,low_20,lowering_cost_low_20,deepening_cost_low_20,total_cost_high_20,total_cost_low_20,high_30,lowering_cost_high_30,deepening_cost_high_30,low_30,lowering_cost_low_30,deepening_cost_low_30,total_cost_high_30,total_cost_low_30,high_40,lowering_cost_high_40,deepening_cost_high_40,low_40,lowering_cost_low_40,deepening_cost_low_40,total_cost_high_40,total_cost_low_40,high_50,lowering_cost_high_50,deepening_cost_high_50,low_50,lowering_cost_low_50,deepening_cost_low_50,total_cost_high_50,total_cost_low_50,high_60,lowering_cost_high_60,deepening_cost_high_60,low_60,lowering_cost_low_60,deepening_cost_low_60,total_cost_high_60,total_cost_low_60,high_70,lowering_cost_high_70,deepening_cost_high_70,low_70,lowering_cost_low_70,deepening_cost_low_70,total_cost_high_70,total_cost_low_70,high_80,lowering_cost_high_80,deepening_cost_high_80,low_80,lowering_cost_low_80,deepening_cost_low_80,total_cost_high_80,total_cost_low_80,high_90,lowering_cost_high_90,deepening_cost_high_90,low_90,lowering_cost_low_90,deepening_cost_low_90,total_cost_high_90,total_cost_low_90,high_100,lowering_cost_high_100,deepening_cost_high_100,low_100,lowering_cost_low_100,deepening_cost_low_100,total_cost_high_100,total_cost_low_100,high_110,lowering_cost_high_110,deepening_cost_high_110,low_110,lowering_cost_low_110,deepening_cost_low_110,total_cost_high_110,total_cost_low_110,high_120,lowering_cost_high_120,deepening_cost_high_120,low_120,lowering_cost_low_120,deepening_cost_low_120,total_cost_high_120,total_cost_low_120,high_130,lowering_cost_high_130,deepening_cost_high_130,low_130,lowering_cost_low_130,deepening_cost_low_130,total_cost_high_130,total_cost_low_130,high_140,lowering_cost_high_140,deepening_cost_high_140,low_140,lowering_cost_low_140,deepening_cost_low_140,total_cost_high_140,total_cost_low_140,high_150,lowering_cost_high_150,deepening_cost_high_150,low_150,lowering_cost_low_150,deepening_cost_low_150,total_cost_high_150,total_cost_low_150,high_160,lowering_cost_high_160,deepening_cost_high_160,low_160,lowering_cost_low_160,deepening_cost_low_160,total_cost_high_160,total_cost_low_160,high_170,lowering_cost_high_170,deepening_cost_high_170,low_170,lowering_cost_low_170,deepening_cost_low_170,total_cost_high_170,total_cost_low_170,high_180,lowering_cost_high_180,deepening_cost_high_180,low_180,lowering_cost_low_180,deepening_cost_low_180,total_cost_high_180,total_cost_low_180,high_190,lowering_cost_high_190,deepening_cost_high_190,low_190,lowering_cost_low_190,deepening_cost_low_190,total_cost_high_190,total_cost_low_190,high_200,lowering_cost_high_200,deepening_cost_high_200,low_200,lowering_cost_low_200,deepening_cost_low_200,total_cost_high_200,total_cost_low_200,high_210,lowering_cost_high_210,deepening_cost_high_210,low_210,lowering_cost_low_210,deepening_cost_low_210,total_cost_high_210,total_cost_low_210,high_220,lowering_cost_high_220,deepening_cost_high_220,low_220,lowering_cost_low_220,deepening_cost_low_220,total_cost_high_220,total_cost_low_220,high_230,lowering_cost_high_230,deepening_cost_high_230,low_230,lowering_cost_low_230,deepening_cost_low_230,total_cost_high_230,total_cost_low_230,high_240,lowering_cost_high_240,deepening_cost_high_240,low_240,lowering_cost_low_240,deepening_cost_low_240,total_cost_high_240,total_cost_low_240,high_250,lowering_cost_high_250,deepening_cost_high_250,low_250,lowering_cost_low_250,deepening_cost_low_250,total_cost_high_250,total_cost_low_250,high_260,lowering_cost_high_260,deepening_cost_high_260,low_260,lowering_cost_low_260,deepening_cost_low_260,total_cost_high_260,total_cost_low_260,high_270,lowering_cost_high_270,deepening_cost_high_270,low_270,lowering_cost_low_270,deepening_cost_low_270,total_cost_high_270,total_cost_low_270,high_280,lowering_cost_high_280,deepening_cost_high_280,low_280,lowering_cost_low_280,deepening_cost_low_280,total_cost_high_280,total_cost_low_280,high_290,lowering_cost_high_290,deepening_cost_high_290,low_290,lowering_cost_low_290,deepening_cost_low_290,total_cost_high_290,total_cost_low_290,high_300,lowering_cost_high_300,deepening_cost_high_300,low_300,lowering_cost_low_300,deepening_cost_low_300,total_cost_high_300,total_cost_low_300,mt_ft_bls,high_mt,lowering_cost_high_mt,deepening_cost_high_mt,low_mt,lowering_cost_low_mt,deepening_cost_low_mt,total_cost_high_mt,total_cost_low_mt
WCR0061074,242.0445597374056,240,237.9554402625944,520,490,156.07454348342438,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442,272.2511960403225,failing,25204.455973740558,0,failing,24795.544026259442,0,25204.455973740558,24795.544026259442
WCR0062366,177.5849244079973,175.54753764842445,173.5101508888516,300,270,103.18912991649705,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,failing,9648.98491111484,11500,failing,9241.507559200269,11500,21148.98491111484,20741.50755920027,194.6180729624517,failing,9648.98491111484,0,failing,9241.507559200269,0,9648.98491111484,9241.507559200269
WCR0129099,262.04097704287665,260,257.95902295712335,400,370,119.4377802969694,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,11204.097704287666,0,active,0,0,11204.097704287666,0,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,0,failing,10795.902295712334,0,11204.097704287666,10795.902295712334,failing,11204.097704287666,11500,failing,10795.902295712334,11500,22704.097704287666,22295.902295712334,failing,11204.097704287666,11500,failing,10795.902295712334,11500,22704.097704287666,22295.902295712334,failing,11204.097704287666,11500,failing,10795.902295712334,11500,22704.097704287666,22295.902295712334,failing,11204.097704287666,11500,failing,10795.902295712334,11500,22704.097704287666,22295.902295712334,failing,11204.097704287666,11500,failing,10795.902295712334,11500,22704.097704287666,22295.902295712334,215.18471545431254,active,0,0,active,0,0,0,0
WCR0153035,317.2549534114604,315.21039367405484,313.1658339366493,520,490,128.64927838399464,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,232.40137051950697,active,0,0,active,0,0,0,0
WCR0173261,192.038159142183,190,187.961840857817,320,290,155.6050931956172,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,failing,10203.8159142183,11500,failing,9796.1840857817,11500,21703.8159142183,21296.1840857817,275.4832046652796,failing,10203.8159142183,0,failing,9796.1840857817,0,10203.8159142183,9796.1840857817
WCR0174689,162.03738675957285,160,157.96261324042715,300,270,76.59397078466407,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,failing,11203.738675957286,11500,failing,10796.261324042714,11500,22703.738675957284,22296.261324042716,167.76884177151882,failing,11203.738675957286,0,failing,10796.261324042714,0,11203.738675957286,10796.261324042714
WCR0207669,454.05118636754395,452,449.94881363245605,810,780,76.59397078466407,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,167.76884177151882,active,0,0,active,0,0,0,0
WCR0216079,317.2549534114604,315.21039367405484,313.1658339366493,520,490,155.6050931956172,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,17683.41660633507,0,active,0,0,17683.41660633507,0,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,failing,17683.41660633507,0,failing,17274.50465885396,0,17683.41660633507,17274.50465885396,275.4832046652796,active,0,0,active,0,0,0,0
WCR0222452,162.03574675780933,160,157.96425324219067,260,230,103.18912991649705,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,7203.574675780934,0,failing,6796.425324219066,0,7203.574675780934,6796.425324219066,failing,7203.574675780934,0,failing,6796.425324219066,0,7203.574675780934,6796.425324219066,failing,7203.574675780934,0,failing,6796.425324219066,0,7203.574675780934,6796.425324219066,failing,7203.574675780934,0,failing,6796.425324219066,0,7203.574675780934,6796.425324219066,failing,7203.574675780934,0,failing,6796.425324219066,0,7203.574675780934,6796.425324219066,failing,7203.574675780934,0,failing,6796.425324219066,0,7203.574675780934,6796.425324219066,failing,7203.574675780934,0,failing,6796.425324219066,0,7203.574675780934,6796.425324219066,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,failing,7203.574675780934,11500,failing,6796.425324219066,11500,18703.574675780932,18296.425324219068,194.6180729624517,failing,7203.574675780934,0,failing,6796.425324219066,0,7203.574675780934,6796.425324219066
WCR0229191,227.79803514220606,225.75772537932784,223.7174156164496,380,350,163.74785608593498,James (Kings),active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,12628.258438355038,0,active,0,0,12628.258438355038,0,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,failing,12628.258438355038,11500,failing,12220.196485779394,11500,24128.25843835504,23720.196485779394,275.4832046652796,failing,12628.258438355038,0,failing,12220.196485779394,0,12628.258438355038,12220.196485779394
