WCRNumber,mean_ci_upper,pump_loc,mean_ci_lower,TotalCompletedDepth,tot_depth_msh,gwl_2019,gsp_name,high_10,lowering_cost_high_10,deepening_cost_high_10,low_10,lowering_cost_low_10,deepening_cost_low_10,total_cost_high_10,total_cost_low_10,high_20,lowering_cost_high_20,deepening_cost_high_20,low_20,lowering_cost_low_20,deepening_cost_low_20,total_cost_high_20,total_cost_low_20,high_30,lowering_cost_high_30,deepening_cost_high_30,low_30,lowering_cost_low_30,deepening_cost_low_30,total_cost_high_30,total_cost_low_30,high_40,lowering_cost_high_40,deepening_cost_high_40,low_40,lowering_cost_low_40,deepening_cost_low_40,total_cost_high_40,total_cost_low_40,high_50,lowering_cost_high_50,deepening_cost_high_50,low_50,lowering_cost_low_50,deepening_cost_low_50,total_cost_high_50,total_cost_low_50,high_60,lowering_cost_high_60,deepening_cost_high_60,low_60,lowering_cost_low_60,deepening_cost_low_60,total_cost_high_60,total_cost_low_60,high_70,lowering_cost_high_70,deepening_cost_high_70,low_70,lowering_cost_low_70,deepening_cost_low_70,total_cost_high_70,total_cost_low_70,high_80,lowering_cost_high_80,deepening_cost_high_80,low_80,lowering_cost_low_80,deepening_cost_low_80,total_cost_high_80,total_cost_low_80,high_90,lowering_cost_high_90,deepening_cost_high_90,low_90,lowering_cost_low_90,deepening_cost_low_90,total_cost_high_90,total_cost_low_90,high_100,lowering_cost_high_100,deepening_cost_high_100,low_100,lowering_cost_low_100,deepening_cost_low_100,total_cost_high_100,total_cost_low_100,high_110,lowering_cost_high_110,deepening_cost_high_110,low_110,lowering_cost_low_110,deepening_cost_low_110,total_cost_high_110,total_cost_low_110,high_120,lowering_cost_high_120,deepening_cost_high_120,low_120,lowering_cost_low_120,deepening_cost_low_120,total_cost_high_120,total_cost_low_120,high_130,lowering_cost_high_130,deepening_cost_high_130,low_130,lowering_cost_low_130,deepening_cost_low_130,total_cost_high_130,total_cost_low_130,high_140,lowering_cost_high_140,deepening_cost_high_140,low_140,lowering_cost_low_140,deepening_cost_low_140,total_cost_high_140,total_cost_low_140,high_150,lowering_cost_high_150,deepening_cost_high_150,low_150,lowering_cost_low_150,deepening_cost_low_150,total_cost_high_150,total_cost_low_150,high_160,lowering_cost_high_160,deepening_cost_high_160,low_160,lowering_cost_low_160,deepening_cost_low_160,total_cost_high_160,total_cost_low_160,high_170,lowering_cost_high_170,deepening_cost_high_170,low_170,lowering_cost_low_170,deepening_cost_low_170,total_cost_high_170,total_cost_low_170,high_180,lowering_cost_high_180,deepening_cost_high_180,low_180,lowering_cost_low_180,deepening_cost_low_180,total_cost_high_180,total_cost_low_180,high_190,lowering_cost_high_190,deepening_cost_high_190,low_190,lowering_cost_low_190,deepening_cost_low_190,total_cost_high_190,total_cost_low_190,high_200,lowering_cost_high_200,deepening_cost_high_200,low_200,lowering_cost_low_200,deepening_cost_low_200,total_cost_high_200,total_cost_low_200,high_210,lowering_cost_high_210,deepening_cost_high_210,low_210,lowering_cost_low_210,deepening_cost_low_210,total_cost_high_210,total_cost_low_210,high_220,lowering_cost_high_220,deepening_cost_high_220,low_220,lowering_cost_low_220,deepening_cost_low_220,total_cost_high_220,total_cost_low_220,high_230,lowering_cost_high_230,deepening_cost_high_230,low_230,lowering_cost_low_230,deepening_cost_low_230,total_cost_high_230,total_cost_low_230,high_240,lowering_cost_high_240,deepening_cost_high_240,low_240,lowering_cost_low_240,deepening_cost_low_240,total_cost_high_240,total_cost_low_240,high_250,lowering_cost_high_250,deepening_cost_high_250,low_250,lowering_cost_low_250,deepening_cost_low_250,total_cost_high_250,total_cost_low_250,high_260,lowering_cost_high_260,deepening_cost_high_260,low_260,lowering_cost_low_260,deepening_cost_low_260,total_cost_high_260,total_cost_low_260,high_270,lowering_cost_high_270,deepening_cost_high_270,low_270,lowering_cost_low_270,deepening_cost_low_270,total_cost_high_270,total_cost_low_270,high_280,lowering_cost_high_280,deepening_cost_high_280,low_280,lowering_cost_low_280,deepening_cost_low_280,total_cost_high_280,total_cost_low_280,high_290,lowering_cost_high_290,deepening_cost_high_290,low_290,lowering_cost_low_290,deepening_cost_low_290,total_cost_high_290,total_cost_low_290,high_300,lowering_cost_high_300,deepening_cost_high_300,low_300,lowering_cost_low_300,deepening_cost_low_300,total_cost_high_300,total_cost_low_300,mt_ft_bls,high_mt,lowering_cost_high_mt,deepening_cost_high_mt,low_mt,lowering_cost_low_mt,deepening_cost_low_mt,total_cost_high_mt,total_cost_low_mt
WCR0005352,378.67608073712603,376.61655327138635,374.5570258056467,720,690,183.81059191419837,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,failing,31544.297419435334,0,failing,31132.391926287397,0,31544.297419435334,31132.391926287397,264.4251856734062,active,0,0,active,0,0,0,0
WCR0006172,306.42285896639225,304.36782379017956,302.31278861396686,580,550,158.99647511862676,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,failing,24768.721138603316,0,failing,24357.714103360773,0,24768.721138603316,24357.714103360773,258.50575640808677,active,0,0,active,0,0,0,0
WCR0006358,202.0452500033931,200,197.9547499966069,340,310,154.19446203359274,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,failing,11204.52500033931,11500,failing,10795.47499966069,11500,22704.52500033931,22295.47499966069,260.3152063747391,failing,11204.52500033931,0,failing,10795.47499966069,0,11204.52500033931,10795.47499966069
WCR0006362,252.04800654068697,250,247.95199345931303,400,370,89.11843556803473,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,12204.800654068697,0,active,0,0,12204.800654068697,0,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,0,failing,11795.199345931303,0,12204.800654068697,11795.199345931303,failing,12204.800654068697,11500,failing,11795.199345931303,11500,23704.8006540687,23295.1993459313,failing,12204.800654068697,11500,failing,11795.199345931303,11500,23704.8006540687,23295.1993459313,248.5805094820467,failing,12204.800654068697,0,active,0,0,12204.800654068697,0
WCR0007145,227.0457260983968,225,222.9542739016032,350,320,89.11843556803473,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032,failing,9704.57260983968,11500,failing,9295.42739016032,11500,21204.57260983968,20795.42739016032,failing,9704.57260983968,11500,failing,9295.42739016032,11500,21204.57260983968,20795.42739016032,failing,9704.57260983968,11500,failing,9295.42739016032,11500,21204.57260983968,20795.42739016032,failing,9704.57260983968,11500,failing,9295.42739016032,11500,21204.57260983968,20795.42739016032,failing,9704.57260983968,11500,failing,9295.42739016032,11500,21204.57260983968,20795.42739016032,failing,9704.57260983968,11500,failing,9295.42739016032,11500,21204.57260983968,20795.42739016032,failing,9704.57260983968,11500,failing,9295.42739016032,11500,21204.57260983968,20795.42739016032,248.5805094820467,failing,9704.57260983968,0,failing,9295.42739016032,0,9704.57260983968,9295.42739016032
WCR0007570,373.522657568354,371.46342865773903,369.40419974712404,710,680,185.04906919018293,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,failing,31059.580025287596,0,failing,30647.7342431646,0,31059.580025287596,30647.7342431646,257.2546134239082,active,0,0,active,0,0,0,0
WCR0011147,236.50032634274456,234.4504012078369,232.40047607292925,445,415,209.29854709625954,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,failing,18259.952392707073,11500,failing,17849.967365725544,11500,29759.952392707073,29349.967365725544,300.3906459976145,failing,18259.952392707073,0,failing,17849.967365725544,0,18259.952392707073,17849.967365725544
WCR0018986,332.25470397843964,330.19798265740707,328.1412613363745,630,600,159.12202708853485,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,27185.87386636255,0,active,0,0,27185.87386636255,0,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,failing,27185.87386636255,0,failing,26774.529602156035,0,27185.87386636255,26774.529602156035,274.50950765535845,active,0,0,active,0,0,0,0
WCR0020241,213.12608345493675,211.07807691424978,209.0300703735628,400,370,172.74973821253323,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,16096.992962643719,0,active,0,0,16096.992962643719,0,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,261.2077979814764,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326
WCR0026516,213.12608345493675,211.07807691424978,209.0300703735628,400,370,158.99647511862676,Kern River,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,failing,16096.992962643719,11500,failing,15687.391654506326,11500,27596.99296264372,27187.391654506326,258.50575640808677,failing,16096.992962643719,0,failing,15687.391654506326,0,16096.992962643719,15687.391654506326
