GSP_Name,Subbasin_Name
Aliso,Delta Mendota
Alpaugh,Tule
Buena Vista,Kern
Central Kings,Kings
Chowchilla,Chowchilla
County of Fresno,Delta Mendota
Delano Earlimart,Tule
Eastern San Joaquin,Eastern San Joaquin
Eastern Tule,Tule
East Kaweah,Kaweah
Farmers,Delta Mendota
Grasslands,Delta Mendota
Gravelly Ford,Madera
Greater Kaweah,Kaweah
Henry Miller,Kern
James,Kings
Kern River,Kern
Kern Groundwater Authority,Kern
Kings River East,Kings
Lower Tule,Tule
Madera,Madera
McMullin,Kings
Merced,Merced
Mid Kaweah,Kaweah
New Stone,Madera
Northern Central DM,Delta Mendota
North Fork Kings,Kings
North Kings,Kings
Olcese,Kern
Pixley,Tule
Root Creek,Madera
SJREC,Delta Mendota
South Kings,Kings
Tri County,Tule
Tulare Lake,Tulare Lake
Westlands,Westside
