wcr_number,mean_ci_upper,pump_loc,mean_ci_lower,tot_completed_depth,gwl_2019,gsp_name,x,y
WCR1993-003687,357.1322603038048,355.1115964886267,353.09093267344855,520,68.1271113739742,Eastern San Joaquin,-120.88126000000001,38.19965999999998
WCR2006-002531,253.6902727736096,251.64613179808268,249.60199082255576,400,38.07074436626455,Merced,-120.66185000000002,37.19336
WCR0030285,347.019436721205,345,342.980563278795,470,97.43493383494507,Eastern San Joaquin,-120.88161,38.14129
WCR0030307,337.02447076042046,335,332.97552923957954,700,61.631586829720405,Eastern San Joaquin,-120.8441,38.18556000000001
WCR0030310,341.0180610014732,339,336.9819389985268,418,72.53503674471494,Eastern San Joaquin,-120.86299000000001,38.15615999999999
WCR0046236,156.83710770245818,154.82475491249656,152.81240212253493,230,115.34835170264701,Eastern San Joaquin,-120.89939999999999,38.09756999999999
WCR0046263,219.9517765759105,217.93632008032546,215.92086358474043,330,81.50024538071347,Eastern San Joaquin,-120.88166999999997,38.17054000000002
WCR0046264,231.51620512468082,229.5,227.48379487531918,354,81.50024538071347,Eastern San Joaquin,-120.88166999999997,38.17054000000002
WCR0050356,115.69404070451121,113.68402895568205,111.6740172068529,180,79.85184633540756,Eastern San Joaquin,-120.95469999999999,38.199279999999995
WCR0050367,252.01513531763845,250,247.98486468236155,320,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR0059495,284.3624757818557,282.34435981171424,280.32624384157276,420,95.52748593940628,Eastern San Joaquin,-120.93617,38.15568999999999
WCR0075907,156.83710770245818,154.82475491249656,152.81240212253493,240,72.53503674471494,Eastern San Joaquin,-120.86303999999997,38.17087999999998
WCR0075908,539.5220292388171,537.5,535.4779707611829,563,72.53503674471494,Eastern San Joaquin,-120.86299000000001,38.15615999999999
WCR0101749,209.01545649558503,207,204.98454350441497,330,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR0116088,188.01513531763845,186,183.98486468236155,320,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR0121529,115.69404070451121,113.68402895568205,111.6740172068529,180,95.52748593940628,Eastern San Joaquin,-120.95429,38.18472
WCR0124215,344.52101550363403,342.5,340.47898449636597,535,97.43493383494507,Eastern San Joaquin,-120.88161,38.14129
WCR0124216,164.5136183065507,162.5,160.4863816934493,275,97.43493383494507,Eastern San Joaquin,-120.91384299999999,38.13484799999999
WCR0131335,227.05048208310922,225.0347099155808,223.0189377480524,334,97.43493383494507,Eastern San Joaquin,-120.88161,38.14129
WCR0153862,237.0157721675284,235,232.9842278324716,340,113.67071197923724,Eastern San Joaquin,-120.93587,38.141029999999994
WCR0174137,382.020183412322,380,377.979816587678,500,79.85184633540756,Eastern San Joaquin,-120.95469999999999,38.199279999999995
WCR0193306,119.08816206549012,117.0779481044399,115.06773414338967,195,72.53503674471494,Eastern San Joaquin,-120.84455,38.17091
WCR0213684,252.01513531763845,250,247.98486468236155,320,68.1271113739742,Eastern San Joaquin,-120.9177,38.185019999999994
WCR0213686,212.86889335131292,210.85375803367447,208.838622716036,320,68.1271113739742,Eastern San Joaquin,-120.88129999999998,38.18498000000001
WCR0225327,338.834465376472,336.8144041897701,334.79434300306815,495,72.53503674471494,Eastern San Joaquin,-120.875652,38.15783199999999
WCR0246464,718.6328919637416,716.6035139131664,714.5741358625911,1000,61.631586829720405,Eastern San Joaquin,-120.8441,38.18556000000001
WCR0257251,129.31044891263932,127.29963501144577,125.28882111025223,200,81.50024538071347,Eastern San Joaquin,-120.88166999999997,38.17054000000002
WCR0272573,247.00744748541123,244.99081953639669,242.97419158738214,368,113.67071197923724,Eastern San Joaquin,-120.93587,38.141029999999994
WCR0272575,182.01308534238262,180,177.98691465761738,260,115.34835170264701,Eastern San Joaquin,-120.88109,38.11201999999999
WCR0272590,432.0220292388172,430,427.9779707611828,580,88.42613985083734,Eastern San Joaquin,-120.86873299999999,38.146484
WCR0275277,169.33854619031086,167.32553297177512,165.31251975323937,258,115.34835170264701,Eastern San Joaquin,-120.89399099999999,38.10138899999998
WCR0275290,657.2669887237419,655.238787519045,653.2105863143481,920,68.1271113739742,Eastern San Joaquin,-120.88126000000001,38.19965999999998
WCR0275297,349.80518973179016,347.78476444081485,345.76433914983954,510,72.53503674471494,Eastern San Joaquin,-120.87104299999999,38.160173999999984
WCR0283991,207.51379286237434,205.5,203.48620713762566,280,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR0284291,505.6453823551644,503.62053662711395,501.5956908990635,720,68.1271113739742,Eastern San Joaquin,-120.91785999999999,38.21399000000001
WCR0286768,718.6328919637416,716.6035139131664,714.5741358625911,1000,68.1271113739742,Eastern San Joaquin,-120.88126000000001,38.19965999999998
WCR0312554,317.0178393874986,315,312.9821606125014,410,97.43493383494507,Eastern San Joaquin,-120.89967,38.12660000000001
WCR0312567,105.55404101253693,103.54464083002647,101.535240647516,285,95.52748593940628,Eastern San Joaquin,-120.95365299999997,38.15845499999999
WCR0326623,247.01513531763845,245,242.98486468236155,312,113.67071197923724,Eastern San Joaquin,-120.93587,38.141029999999994
WCR1989-001514,177.70888601648676,175.69544380894305,173.68200160139935,270,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1989-003014,170.73164817504755,168.71856283266493,166.7054774902823,260,95.52748593940628,Eastern San Joaquin,-120.95466999999998,38.17030999999999
WCR1989-003114,184.70518018834804,182.6913873259737,180.67759446359935,280,115.34835170264701,Eastern San Joaquin,-120.9177,38.09752
WCR1989-003123,95.48179221684046,93.47300695465766,91.46422169247487,150,72.53503674471494,Eastern San Joaquin,-120.84455,38.17091
